0.0000,
11313,0.0000,
11314,0.0000,
11315,0.0000,
11316,0.0000,
11318,0.0000,
11319,0.0000,
11320,0.0000,
11321,0.0000,
11323,0.0000,
11324,0.0000,
11325,0.0000,
11326,0.0000,
11328,0.0000,
11329,0.0000,
11330,0.0000,
11331,0.0000,
11333,0.0000,
11334,0.0000,
11335,0.0000,
11336,0.0000,
11338,0.0000,
11339,0.0000,
11340,0.0000,
11341,0.0000,
11343,0.0000,
11344,0.0000,
11345,0.0000,
11346,0.0000,
11348,0.0000,
11350,0.0000,
11351,0.0000,
11352,0.0000,
11354,0.0000,
11355,0.0000,
11356,0.0000,
11357,0.0000,
11359,0.0000,
11360,0.0000,
11361,0.0000,
11362,0.0000,
11364,0.0000,
11365,0.0000,
11366,0.0000,
11367,0.0000,
11369,0.0000,
11370,0.0000,
11371,0.0000,
11372,0.0000,
11374,0.0000,
11375,0.0000,
11376,0.0000,
11377,0.0000,
11378,0.0000,
11380,0.0000,
11381,0.0000,
11382,0.0000,
11383,0.0000,
11385,0.0000,
11386,0.0000,
11387,0.0000,
11388,0.0000,
11390,0.0000,
11392,0.0000,
11393,0.0000,
11394,0.0000,
11396,0.0000,
11397,0.0000,
11398,0.0000,
11399,0.0000,
11401,0.0000,
11402,0.0000,
11403,0.0000,
11404,0.0000,
11406,0.0000,
11407,0.0000,
11408,0.0000,
11409,0.0000,
11411,0.0000,
11412,0.0000,
11413,0.0000,
11414,0.0000,
11416,0.0000,
11417,0.0000,
11418,0.0000,
11419,0.0000,
11421,0.0000,
11422,0.0000,
11423,0.0000,
11424,0.0000,
11426,0.0000,
11427,0.0000,
11428,0.0000,
11429,0.0000,
11431,0.0000,
11432,0.0000,
11433,0.0000,
11435,0.0000,
11437,0.0000,
11438,0.0000,
11439,0.0000,
11440,0.0000,
11442,0.0000,
11443,0.0000,
11444,0.0000,
11445,0.0000,
11446,0.0000,
11448,0.0000,
11449,0.0000,
11450,0.0000,
11451,0.0000,
11453,0.0000,
11454,0.0000,
11455,0.0000,
11456,0.0000,
11458,0.0000,
11459,0.0000,
11460,0.0000,
11461,0.0000,
11463,0.0000,
11464,0.0000,
11465,0.0000,
11466,0.0000,
11468,0.0000,
11469,0.0000,
11470,0.0000,
11471,0.0000,
11473,0.0000,
11474,0.0000,
11475,0.0000,
11476,0.0000,
11479,0.0000,
11480,0.0000,
11481,0.0000,
11482,0.0000,
11484,0.0000,
11485,0.0000,
11486,0.0000,
11487,0.0000,
11489,0.0000,
11490,0.0000,
11491,0.0000,
11492,0.0000,
11494,0.0000,
11495,0.0000,
11496,0.0000,
11497,0.0000,
11499,0.0000,
11500,0.0000,
11501,0.0000,
11502,0.0000,
11504,0.0000,
11505,0.0000,
11506,0.0000,
11507,0.0000,
11508,0.0000,
11510,0.0000,
11511,0.0000,
11512,0.0000,
11513,0.0000,
11515,0.0000,
11516,0.0000,
11517,0.0000,
11518,0.0000,
11521,0.0000,
11522,0.0000,
11523,0.0000,
11524,0.0000,
11526,0.0000,
11527,0.0000,
11528,0.0000,
11529,0.0000,
11531,0.0000,
11532,0.0000,
11533,0.0000,
11534,0.0000,
11536,0.0000,
11537,0.0000,
11538,0.0000,
11539,0.0000,
11541,0.0000,
11542,0.0000,
11543,0.0000,
11544,0.0000,
11546,0.0000,
11547,0.0000,
11548,0.0000,
11549,0.0000,
11551,0.0000,
11552,0.0000,
11553,0.0000,
11554,0.0000,
11556,0.0000,
11557,0.0000,
11558,0.0000,
11559,0.0000,
11561,0.0000,
11563,0.0000,
11564,0.0000,
11565,0.0000,
11567,0.0000,
11568,0.0000,
11569,0.0000,
11570,0.0000,
11572,0.0000,
11573,0.0000,
11574,0.0000,
11575,0.0000,
11576,0.0000,
11578,0.0000,
11579,0.0000,
11580,0.0000,
11581,0.0000,
11583,0.0000,
11584,0.0000,
11585,0.0000,
11586,0.0000,
11588,0.0000,
11589,0.0000,
11590,0.0000,
11591,0.0000,
11593,0.0000,
11594,0.0000,
11595,0.0000,
11596,0.0000,
11598,0.0000,
11599,0.0000,
11600,0.0000,
11601,0.0000,
11603,0.0000,
11604,0.0000,
11606,0.0000,
11607,0.0000,
11609,0.0000,
11610,0.0000,
11611,0.0000,
11612,0.0000,
11614,0.0000,
11615,0.0000,
11616,0.0000,
11617,0.0000,
11619,0.0000,
11620,0.0000,
11621,0.0000,
11622,0.0000,
11624,0.0000,
11625,0.0000,
11626,0.0000,
11627,0.0000,
11629,0.0000,
11630,0.0000,
11631,0.0000,
11632,0.0000,
11634,0.0000,
11635,0.0000,
11636,0.0000,
11637,0.0000,
11638,0.0000,
11640,0.0000,
11641,0.0000,
11642,0.0000,
11643,0.0000,
11645,0.0000,
11646,0.0000,
11648,0.0000,
11649,0.0000,
11651,0.0000,
11652,0.0000,
11653,0.0000,
11654,0.0000,
11656,0.0000,
11657,0.0000,
11658,0.0000,
11659,0.0000,
11661,0.0000,
11662,0.0000,
11663,0.0000,
11664,0.0000,
11666,0.0000,
11667,0.0000,
11668,0.0000,
11669,0.0000,
11671,0.0000,
11672,0.0000,
11673,0.0000,
11674,0.0000,
11676,0.0000,
11677,0.0000,
11678,0.0000,
11679,0.0000,
11681,0.0000,
11682,0.0000,
11683,0.0000,
11684,0.0000,
11686,0.0000,
11687,0.0000,
11688,0.0000,
11689,0.0000,
11692,0.0000,
11693,0.0000,
11694,0.0000,
11695,0.0000,
11697,0.0000,
11698,0.0000,
11699,0.0000,
11700,0.0000,
11702,0.0000,
11703,0.0000,
11704,0.0000,
11705,0.0000,
11706,0.0000,
11708,0.0000,
11709,0.0000,
11710,0.0000,
11711,0.0000,
11713,0.0000,
11714,0.0000,
11715,0.0000,
11716,0.0000,
11718,0.0000,
11719,0.0000,
11720,0.0000,
11721,0.0000,
11723,0.0000,
11724,0.0000,
11725,0.0000,
11726,0.0000,
11728,0.0000,
11729,0.0000,
11730,0.0000,
11731,0.0000,
11734,0.0000,
11735,0.0000,
11736,0.0000,
11737,0.0000,
11739,0.0000,
11740,0.0000,
11741,0.0000,
11742,0.0000,
11744,0.0000,
11745,0.0000,
11746,0.0000,
11747,0.0000,
11749,0.0000,
11750,0.0000,
11751,0.0000,
11752,0.0000,
11754,0.0000,
11755,0.0000,
11756,0.0000,
11757,0.0000,
11759,0.0000,
11760,0.0000,
11761,0.0000,
11762,0.0000,
11764,0.0000,
11765,0.0000,
11766,0.0000,
11767,0.0000,
11769,0.0000,
11770,0.0000,
11771,0.0000,
11772,0.0000,
11773,0.0000,
11776,0.0000,
11777,0.0000,
11778,0.0000,
11779,0.0000,
11781,0.0000,
11782,0.0000,
11783,0.0000,
11784,0.0000,
11786,0.0000,
11787,0.0000,
11788,0.0000,
11789,0.0000,
11791,0.0000,
11792,0.0000,
11793,0.0000,
11794,0.0000,
11796,0.0000,
11797,0.0000,
11798,0.0000,
11799,0.0000,
11801,0.0000,
11802,0.0000,
11803,0.0000,
11804,0.0000,
11806,0.0000,
11807,0.0000,
11808,0.0000,
11809,0.0000,
11811,0.0000,
11812,0.0000,
11813,0.0000,
11814,0.0000,
11816,0.0000,
11817,0.0000,
11819,0.0000,
11820,0.0000,
11822,0.0000,
11823,0.0000,
11824,0.0000,
11825,0.0000,
11827,0.0000,
11828,0.0000,
11829,0.0000,
11830,0.0000,
11832,0.0000,
11833,0.0000,
11834,0.0000,
11835,0.0000,
11836,0.0000,
11838,0.0000,
11839,0.0000,
11840,0.0000,
11841,0.0000,
11843,0.0000,
11844,0.0000,
11845,0.0000,
11846,0.0000,
11848,0.0000,
11849,0.0000,
11850,0.0000,
11851,0.0000,
11853,0.0000,
11854,0.0000,
11855,0.0000,
11856,0.0000,
11858,0.0000,
11859,0.0000,
11860,0.0000,
11862,0.0000,
11864,0.0000,
11865,0.0000,
11866,0.0000,
11867,0.0000,
11869,0.0000,
11870,0.0000,
11871,0.0000,
11872,0.0000,
11874,0.0000,
11875,0.0000,
11876,0.0000,
11877,0.0000,
11879,0.0000,
11880,0.0000,
11881,0.0000,
11882,0.0000,
11884,0.0000,
11885,0.0000,
11886,0.0000,
11887,0.0000,
11889,0.0000,
11890,0.0000,
11891,0.0000,
11892,0.0000,
11894,0.0000,
11895,0.0000,
11896,0.0000,
11897,0.0000,
11899,0.0000,
11900,0.0000,
11901,0.0000,
11902,0.0000,
11904,0.0000,
11906,0.0000,
11907,0.0000,
11908,0.0000,
11909,0.0000,
11911,0.0000,
11912,0.0000,
11913,0.0000,
11914,0.0000,
11916,0.0000,
11917,0.0000,
11918,0.0000,
11919,0.0000,
11921,0.0000,
11922,0.0000,
11923,0.0000,
11924,0.0000,
11926,0.0000,
11927,0.0000,
11928,0.0000,
11929,0.0000,
11931,0.0000,
11932,0.0000,
11933,0.0000,
11934,0.0000,
11936,0.0000,
11937,0.0000,
11938,0.0000,
11939,0.0000,
11941,0.0000,
11942,0.0000,
11943,0.0000,
11944,0.0000,
11947,0.0000,
11948,0.0000,
11949,0.0000,
11950,0.0000,
11952,0.0000,
11953,0.0000,
11954,0.0000,
11955,0.0000,
11957,0.0000,
11958,0.0000,
11959,0.0000,
11960,0.0000,
11962,0.0000,
11963,0.0000,
11964,0.0000,
11965,0.0000,
11966,0.0000,
11968,0.0000,
11969,0.0000,
11970,0.0000,
11971,0.0000,
11973,0.0000,
11974,0.0000,
11975,0.0000,
11976,0.0000,
11978,0.0000,
11979,0.0000,
11980,0.0000,
11981,0.0000,
11983,0.0000,
11984,0.0000,
11985,0.0000,
11986,0.0000,
11988,0.0000,
11990,0.0000,
11991,0.0000,
11992,0.0000,
11994,0.0000,
11995,0.0000,
11996,0.0000,
11997,0.0000,
11999,0.0000,
12000,0.0000,
12001,0.0000,
12002,0.0000,
12004,0.0000,
12005,0.0000,
12006,0.0000,
12007,0.0000,
12009,0.0000,
12010,0.0000,
12011,0.0000,
12012,0.0000,
12014,0.0000,
12015,0.0000,
12016,0.0000,
12017,0.0000,
12019,0.0000,
12020,0.0000,
12021,0.0000,
12022,0.0000,
12024,0.0000,
12025,0.0000,
12026,0.0000,
12027,0.0000,
12029,0.0000,
12030,0.0000,
12032,0.0000,
12033,0.0000,
12034,0.0000,
12036,0.0000,
12037,0.0000,
12038,0.0000,
12039,0.0000,
12041,0.0000,
12042,0.0000,
12043,0.0000,
12044,0.0000,
12046,0.0000,
12047,0.0000,
12048,0.0000,
12049,0.0000,
12051,0.0000,
12052,0.0000,
12053,0.0000,
12054,0.0000,
12056,0.0000,
12057,0.0000,
12058,0.0000,
12059,0.0000,
12061,0.0000,
12062,0.0000,
12063,0.0000,
12064,0.0000,
12066,0.0000,
12067,0.0000,
12068,0.0000,
12069,0.0000,
12071,0.0000,
12072,0.0000,
12073,0.0000,
12075,0.0000,
12077,0.0000,
12078,0.0000,
12079,0.0000,
12080,0.0000,
12082,0.0000,
12083,0.0000,
12084,0.0000,
12085,0.0000,
12087,0.0000,
12088,0.0000,
12089,0.0000,
12090,0.0000,
12092,0.0000,
12093,0.0000,
12094,0.0000,
12095,0.0000,
12096,0.0000,
12098,0.0000,
12099,0.0000,
12100,0.0000,
12101,0.0000,
12103,0.0000,
12104,0.0000,
12105,0.0000,
12106,0.0000,
12108,0.0000,
12109,0.0000,
12110,0.0000,
12111,0.0000,
12113,0.0000,
12114,0.0000,
12115,0.0000,
12116,0.0000,
12119,0.0000,
12120,0.0000,
12121,0.0000,
12122,0.0000,
12124,0.0000,
12125,0.0000,
12126,0.0000,
12127,0.0000,
12129,0.0000,
12130,0.0000,
12131,0.0000,
12132,0.0000,
12134,0.0000,
12135,0.0000,
12136,0.0000,
12137,0.0000,
12139,0.0000,
12140,0.0000,
12141,0.0000,
12142,0.0000,
12144,0.0000,
12145,0.0000,
12146,0.0000,
12147,0.0000,
12149,0.0000,
12150,0.0000,
12151,0.0000,
12152,0.0000,
12154,0.0000,
12155,0.0000,
12156,0.0000,
12157,0.0000,
12160,0.0000,
12161,0.0000,
12162,0.0000,
12163,0.0000,
12164,0.0000,
12166,0.0000,
12167,0.0000,
12168,0.0000,
12169,0.0000,
12171,0.0000,
12172,0.0000,
12173,0.0000,
12174,0.0000,
12176,0.0000,
12177,0.0000,
12178,0.0000,
12179,0.0000,
12181,0.0000,
12182,0.0000,
12183,0.0000,
12184,0.0000,
12186,0.0000,
12187,0.0000,
12188,0.0000,
12189,0.0000,
12191,0.0000,
12192,0.0000,
12193,0.0000,
12194,0.0000,
12196,0.0000,
12197,0.0000,
12198,0.0000,
12199,0.0000,
12201,0.0000,
12203,0.0000,
12204,0.0000,
12205,0.0000,
12207,0.0000,
12208,0.0000,
12209,0.0000,
12210,0.0000,
12212,0.0000,
12213,0.0000,
12214,0.0000,
12215,0.0000,
12217,0.0000,
12218,0.0000,
12219,0.0000,
12220,0.0000,
12222,0.0000,
12223,0.0000,
12224,0.0000,
12225,0.0000,
12226,0.0000,
12228,0.0000,
12229,0.0000,
12230,0.0000,
12231,0.0000,
12233,0.0000,
12234,0.0000,
12235,0.0000,
12236,0.0000,
12238,0.0000,
12239,0.0000,
12240,0.0000,
12241,0.0000,
12243,0.0000,
12244,0.0000,
12246,0.0000,
12247,0.0000,
12249,0.0000,
12250,0.0000,
12251,0.0000,
12252,0.0000,
12254,0.0000,
12255,0.0000,
12256,0.0000,
12257,0.0000,
12259,0.0000,
12260,0.0000,
12261,0.0000,
12262,0.0000,
12264,0.0000,
12265,0.0000,
12266,0.0000,
12267,0.0000,
12269,0.0000,
12270,0.0000,
12271,0.0000,
12272,0.0000,
12274,0.0000,
12275,0.0000,
12276,0.0000,
12277,0.0000,
12279,0.0000,
12280,0.0000,
12281,0.0000,
12282,0.0000,
12284,0.0000,
12285,0.0000,
12286,0.0000,
12288,0.0000,
12290,0.0000,
12291,0.0000,
12292,0.0000,
12293,0.0000,
12294,0.0000,
12296,0.0000,
12297,0.0000,
12298,0.0000,
12299,0.0000,
12301,0.0000,
12302,0.0000,
12303,0.0000,
12304,0.0000,
12306,0.0000,
12307,0.0000,
12308,0.0000,
12309,0.0000,
12311,0.0000,
12312,0.0000,
12313,0.0000,
12314,0.0000,
12316,0.0000,
12317,0.0000,
12318,0.0000,
12319,0.0000,
12321,0.0000,
12322,0.0000,
12323,0.0000,
12324,0.0000,
12326,0.0000,
12327,0.0000,
12328,0.0000,
12329,0.0000,
12332,0.0000,
12333,0.0000,
12334,0.0000,
12335,0.0000,
12337,0.0000,
12338,0.0000,
12339,0.0000,
12340,0.0000,
12342,0.0000,
12343,0.0000,
12344,0.0000,
12345,0.0000,
12347,0.0000,
12348,0.0000,
12349,0.0000,
12350,0.0000,
12352,0.0000,
12353,0.0000,
12354,0.0000,
12355,0.0000,
12357,0.0000,
12358,0.0000,
12359,0.0000,
12360,0.0000,
12361,0.0000,
12363,0.0000,
12364,0.0000,
12365,0.0000,
12366,0.0000,
12368,0.0000,
12369,0.0000,
12370,0.0000,
12371,0.0000,
12374,0.0000,
12375,0.0000,
12376,0.0000,
12377,0.0000,
12379,0.0000,
12380,0.0000,
12381,0.0000,
12382,0.0000,
12384,0.0000,
12385,0.0000,
12386,0.0000,
12387,0.0000,
12389,0.0000,
12390,0.0000,
12391,0.0000,
12392,0.0000,
12394,0.0000,
12395,0.0000,
12396,0.0000,
12397,0.0000,
12399,0.0000,
12400,0.0000,
12401,0.0000,
12402,0.0000,
12404,0.0000,
12405,0.0000,
12406,0.0000,
12407,0.0000,
12409,0.0000,
12410,0.0000,
12411,0.0000,
12412,0.0000,
12414,0.0000,
12416,0.0000,
12417,0.0000,
12418,0.0000,
12420,0.0000,
12421,0.0000,
12422,0.0000,
12423,0.0000,
12424,0.0000,
12426,0.0000,
12427,0.0000,
12428,0.0000,
12429,0.0000,
12431,0.0000,
12432,0.0000,
12433,0.0000,
12434,0.0000,
12436,0.0000,
12437,0.0000,
12438,0.0000,
12439,0.0000,
12441,0.0000,
12442,0.0000,
12443,0.0000,
12444,0.0000,
12446,0.0000,
12447,0.0000,
12448,0.0000,
12449,0.0000,
12451,0.0000,
12452,0.0000,
12453,0.0000,
12454,0.0000,
12456,0.0000,
12457,0.0000,
12459,0.0000,
12460,0.0000,
12462,0.0000,
12463,0.0000,
12464,0.0000,
12465,0.0000,
12467,0.0000,
12468,0.0000,
12469,0.0000,
12470,0.0000,
12472,0.0000,
12473,0.0000,
12474,0.0000,
12475,0.0000,
12477,0.0000,
12478,0.0000,
12479,0.0000,
12480,0.0000,
12482,0.0000,
12483,0.0000,
12484,0.0000,
12485,0.0000,
12487,0.0000,
12488,0.0000,
12489,0.0000,
12490,0.0000,
12491,0.0000,
12493,0.0000,
12494,0.0000,
12495,0.0000,
12496,0.0000,
12498,0.0000,
12499,0.0000,
12500,0.0000,
12502,0.0000,
12504,0.0000,
12505,0.0000,
12506,0.0000,
12507,0.0000,
12509,0.0000,
12510,0.0000,
12511,0.0000,
12512,0.0000,
12514,0.0000,
12515,0.0000,
12516,0.0000,
12517,0.0000,
12519,0.0000,
12520,0.0000,
12521,0.0000,
12522,0.0000,
12524,0.0000,
12525,0.0000,
12526,0.0000,
12527,0.0000,
12529,0.0000,
12530,0.0000,
12531,0.0000,
12532,0.0000,
12534,0.0000,
12535,0.0000,
12536,0.0000,
12537,0.0000,
12539,0.0000,
12540,0.0000,
12541,0.0000,
12542,0.0000,
12545,0.0000,
12546,0.0000,
12547,0.0000,
12548,0.0000,
12550,0.0000,
12551,0.0000,
12552,0.0000,
12553,0.0000,
12554,0.0000,
12556,0.0000,
12557,0.0000,
12558,0.0000,
12559,0.0000,
12561,0.0000,
12562,0.0000,
12563,0.0000,
12564,0.0000,
12566,0.0000,
12567,0.0000,
12568,0.0000,
12569,0.0000,
12571,0.0000,
12572,0.0000,
12573,0.0000,
12574,0.0000,
12576,0.0000,
12577,0.0000,
12578,0.0000,
12579,0.0000,
12581,0.0000,
12582,0.0000,
12583,0.0000,
12584,0.0000,
12587,0.0000,
12588,0.0000,
12589,0.0000,
12590,0.0000,
12592,0.0000,
12593,0.0000,
12594,0.0000,
12595,0.0000,
12597,0.0000,
12598,0.0000,
12599,0.0000,
12600,0.0000,
12602,0.0000,
12603,0.0000,
12604,0.0000,
12605,0.0000,
12607,0.0000,
12608,0.0000,
12609,0.0000,
12610,0.0000,
12612,0.0000,
12613,0.0000,
12614,0.0000,
12615,0.0000,
12617,0.0000,
12618,0.0000,
12619,0.0000,
12620,0.0000,
12621,0.0000,
12623,0.0000,
12624,0.0000,
12625,0.0000,
12626,0.0000,
12628,0.0000,
12630,0.0000,
12631,0.0000,
12632,0.0000,
12634,0.0000,
12635,0.0000,
12636,0.0000,
12637,0.0000,
12639,0.0000,
12640,0.0000,
12641,0.0000,
12642,0.0000,
12644,0.0000,
12645,0.0000,
12646,0.0000,
12647,0.0000,
12649,0.0000,
12650,0.0000,
12651,0.0000,
12652,0.0000,
12654,0.0000,
12655,0.0000,
12656,0.0000,
12657,0.0000,
12659,0.0000,
12660,0.0000,
12661,0.0000,
12662,0.0000,
12664,0.0000,
12665,0.0000,
12666,0.0000,
12667,0.0000,
12669,0.0000,
12670,0.0000,
12672,0.0000,
12673,0.0000,
12675,0.0000,
12676,0.0000,
12677,0.0000,
12678,0.0000,
12680,0.0000,
12681,0.0000,
12682,0.0000,
12683,0.0000,
12684,0.0000,
12686,0.0000,
12687,0.0000,
12688,0.0000,
12689,0.0000,
12691,0.0000,
12692,0.0000,
12693,0.0000,
12694,0.0000,
12696,0.0000,
12697,0.0000,
12698,0.0000,
12699,0.0000,
12701,0.0000,
12702,0.0000,
12703,0.0000,
12704,0.0000,
12706,0.0000,
12707,0.0000,
12708,0.0000,
12709,0.0000,
12711,0.0000,
12712,0.0000,
12713,0.0000,
12715,0.0000,
12717,0.0000,
12718,0.0000,
12719,0.0000,
12720,0.0000,
12722,0.0000,
12723,0.0000,
12724,0.0000,
12725,0.0000,
12727,0.0000,
12728,0.0000,
12729,0.0000,
12730,0.0000,
12732,0.0000,
12733,0.0000,
12734,0.0000,
12735,0.0000,
12737,0.0000,
12738,0.0000,
12739,0.0000,
12740,0.0000,
12742,0.0000,
12743,0.0000,
12744,0.0000,
12745,0.0000,
12747,0.0000,
12748,0.0000,
12749,0.0000,
12750,0.0000,
12751,0.0000,
12753,0.0000,
12754,0.0000,
12755,0.0000,
12756,0.0000,
12759,0.0000,
12760,0.0000,
12761,0.0000,
12762,0.0000,
12764,0.0000,
12765,0.0000,
12766,0.0000,
12767,0.0000,
12769,0.0000,
12770,0.0000,
12771,0.0000,
12772,0.0000,
12774,0.0000,
12775,0.0000,
12776,0.0000,
12777,0.0000,
12779,0.0000,
12780,0.0000,
12781,0.0000,
12782,0.0000,
12784,0.0000,
12785,0.0000,
12786,0.0000,
12787,0.0000,
12789,0.0000,
12790,0.0000,
12791,0.0000,
12792,0.0000,
12794,0.0000,
12795,0.0000,
12796,0.0000,
12797,0.0000,
12800,0.0000,
12801,0.0000,
12802,0.0000,
12803,0.0000,
12805,0.0000,
12806,0.0000,
12807,0.0000,
12808,0.0000,
12810,0.0000,
12811,0.0000,
12812,0.0000,
12813,0.0000,
12814,0.0000,
12816,0.0000,
12817,0.0000,
12818,0.0000,
12819,0.0000,
12821,0.0000,
12822,0.0000,
12823,0.0000,
12824,0.0000,
12826,0.0000,
12827,0.0000,
12828,0.0000,
12829,0.0000,
12831,0.0000,
12832,0.0000,
12833,0.0000,
12834,0.0000,
12836,0.0000,
12837,0.0000,
12838,0.0000,
12839,0.0000,
12841,0.0000,
12843,0.0000,
12844,0.0000,
12845,0.0000,
12847,0.0000,
12848,0.0000,
12849,0.0000,
12850,0.0000,
12852,0.0000,
12853,0.0000,
12854,0.0000,
12855,0.0000,
12857,0.0000,
12858,0.0000,
12859,0.0000,
12860,0.0000,
12862,0.0000,
12863,0.0000,
12864,0.0000,
12865,0.0000,
12867,0.0000,
12868,0.0000,
12869,0.0000,
12870,0.0000,
12872,0.0000,
12873,0.0000,
12874,0.0000,
12875,0.0000,
12877,0.0000,
12878,0.0000,
12879,0.0000,
12880,0.0000,
12881,0.0000,
12883,0.0000,
12884,0.0000,
12886,0.0000,
12887,0.0000,
12889,0.0000,
12890,0.0000,
12891,0.0000,
12892,0.0000,
12894,0.0000,
12895,0.0000,
12896,0.0000,
12897,0.0000,
12899,0.0000,
12900,0.0000,
12901,0.0000,
12902,0.0000,
12904,0.0000,
12905,0.0000,
12906,0.0000,
12907,0.0000,
12909,0.0000,
12910,0.0000,
12911,0.0000,
12912,0.0000,
12914,0.0000,
12915,0.0000,
12916,0.0000,
12917,0.0000,
12919,0.0000,
12920,0.0000,
12921,0.0000,
12922,0.0000,
12924,0.0000,
12925,0.0000,
12926,0.0000,
12928,0.0000,
12930,0.0000,
12931,0.0000,
12932,0.0000,
12933,0.0000,
12935,0.0000,
12936,0.0000,
12937,0.0000,
12938,0.0000,
12940,0.0000,
12941,0.0000,
12942,0.0000,
12943,0.0000,
12944,0.0000,
12946,0.0000,
12947,0.0000,
12948,0.0000,
12949,0.0000,
12951,0.0000,
12952,0.0000,
12953,0.0000,
12954,0.0000,
12956,0.0000,
12957,0.0000,
12958,0.0000,
12959,0.0000,
12961,0.0000,
12962,0.0000,
12963,0.0000,
12964,0.0000,
12966,0.0000,
12967,0.0000,
12968,0.0000,
12969,0.0000,
12972,0.0000,
12973,0.0000,
12974,0.0000,
12975,0.0000,
12977,0.0000,
12978,0.0000,
12979,0.0000,
12980,0.0000,
12982,0.0000,
12983,0.0000,
12984,0.0000,
12985,0.0000,
12987,0.0000,
12988,0.0000,
12989,0.0000,
12990,0.0000,
12992,0.0000,
12993,0.0000,
12994,0.0000,
12995,0.0000,
12997,0.0000,
12998,0.0000,
12999,0.0000,
13000,0.0000,
13002,0.0000,
13003,0.0000,
13004,0.0000,
13005,0.0000,
13007,0.0000,
13008,0.0000,
13009,0.0000,
13010,0.0000,
13011,0.0000,
13014,0.0000,
13015,0.0000,
13016,0.0000,
13017,0.0000,
13019,0.0000,
13020,0.0000,
13021,0.0000,
13022,0.0000,
13024,0.0000,
13025,0.0000,
13026,0.0000,
13027,0.0000,
13029,0.0000,
13030,0.0000,
13031,0.0000,
13032,0.0000,
13034,0.0000,
13035,0.0000,
13036,0.0000,
13037,0.0000,
